# idx        tau          q0           omn          omt          Tref         nref         gamma        omega       
1              1.44000000   4.53623330  88.00000000 186.00000000   0.39703891   4.49237919 150.55500000 -357.33400000
2              1.72800000   4.53623330  88.00000000 186.00000000   0.39703891   4.49237919 140.12900000 -340.04200000
3              1.44000000   5.44347990  88.00000000 186.00000000   0.39703891   4.49237919 123.93100000 -368.45200000
4              1.44000000   4.53623330 105.60000000 186.00000000   0.39703891   4.49237919 148.22300000 -261.77400000
5              1.44000000   4.53623330  88.00000000 223.20000000   0.39703891   4.49237919 123.96000000 -517.84700000
6              1.44000000   4.53623330  88.00000000 186.00000000   0.43674280   4.49237919 135.41800000 -364.59900000
7              1.44000000   4.53623330  88.00000000 186.00000000   0.39703891   4.94161711 140.21600000 -372.14000000
8              1.15200000   4.53623330  88.00000000 186.00000000   0.39703891   4.49237919 162.01600000 -377.32500000
9              1.72800000   5.44347990  88.00000000 186.00000000   0.39703891   4.49237919 114.79900000 -350.48200000
10             1.72800000   4.53623330 105.60000000 186.00000000   0.39703891   4.49237919 136.74800000 -251.65500000
11             1.72800000   4.53623330  88.00000000 223.20000000   0.39703891   4.49237919 119.73700000 -489.16500000
12             1.72800000   4.53623330  88.00000000 186.00000000   0.43674280   4.49237919 125.81700000 -346.86100000
13             1.72800000   4.53623330  88.00000000 186.00000000   0.39703891   4.94161711 130.10900000 -353.51000000
14             1.44000000   3.62898660  88.00000000 186.00000000   0.39703891   4.49237919 187.65300000 -353.93100000
15             1.44000000   5.44347990 105.60000000 186.00000000   0.39703891   4.49237919 124.77900000 -276.65800000
16             1.44000000   5.44347990  88.00000000 223.20000000   0.39703891   4.49237919  94.05500000 -529.99500000
17             1.44000000   5.44347990  88.00000000 186.00000000   0.43674280   4.49237919 109.63500000 -377.99500000
18             1.44000000   5.44347990  88.00000000 186.00000000   0.39703891   4.94161711 114.34400000 -385.69800000
19             1.44000000   4.53623330  70.40000000 186.00000000   0.39703891   4.49237919 136.64400000 -465.44800000
20             1.44000000   4.53623330 105.60000000 223.20000000   0.39703891   4.49237919 145.67900000 -414.44300000
21             1.44000000   4.53623330 105.60000000 186.00000000   0.43674280   4.49237919 134.73500000 -270.99600000
22             1.44000000   4.53623330 105.60000000 186.00000000   0.39703891   4.94161711 139.79400000 -275.67200000
23             1.44000000   4.53623330  88.00000000 148.80000000   0.39703891   4.49237919 142.48100000 -200.64500000
24             1.44000000   4.53623330  88.00000000 223.20000000   0.43674280   4.49237919 106.09900000 -526.39400000
25             1.44000000   4.53623330  88.00000000 223.20000000   0.39703891   4.94161711 109.24000000 -538.20400000
26             1.44000000   4.53623330  88.00000000 186.00000000   0.35733502   4.49237919 167.42500000 -350.57200000
27             1.44000000   4.53623330  88.00000000 186.00000000   0.43674280   4.94161711 125.31700000 -380.33700000
28             1.44000000   4.53623330  88.00000000 186.00000000   0.39703891   4.04314127 161.62100000 -342.08700000
29             1.60627690   4.53623330  88.00000000 186.00000000   0.39703891   4.49237919 144.41800000 -347.06200000
30             1.15200000   5.44347990  88.00000000 186.00000000   0.39703891   4.49237919 133.74500000 -389.13900000
31             1.15200000   4.53623330 105.60000000 186.00000000   0.39703891   4.49237919 161.17700000 -273.18900000
32             1.15200000   4.53623330  88.00000000 223.20000000   0.39703891   4.49237919 126.98500000 -551.54200000
33             1.15200000   4.53623330  88.00000000 186.00000000   0.43674280   4.49237919 145.87200000 -385.07800000
34             1.15200000   4.53623330  88.00000000 186.00000000   0.39703891   4.94161711 151.24500000 -393.74800000
35             1.72800000   3.62898660  88.00000000 186.00000000   0.39703891   4.49237919 175.05300000 -336.91700000
36             1.72800000   5.44347990 105.60000000 186.00000000   0.39703891   4.49237919 114.10800000 -265.37100000
37             1.72800000   5.44347990  88.00000000 223.20000000   0.39703891   4.49237919  91.99400000 -501.25500000
38             1.72800000   5.44347990  88.00000000 186.00000000   0.43674280   4.49237919 101.13700000 -359.36500000
39             1.72800000   5.44347990  88.00000000 186.00000000   0.39703891   4.94161711 105.38200000 -366.18100000
40             1.72800000   4.53623330  70.40000000 186.00000000   0.39703891   4.49237919 129.73200000 -439.46100000
41             1.72800000   4.53623330 105.60000000 223.20000000   0.39703891   4.49237919 136.58100000 -394.21200000
42             1.72800000   4.53623330 105.60000000 186.00000000   0.43674280   4.49237919 123.88700000 -260.21700000
43             1.72800000   4.53623330 105.60000000 186.00000000   0.39703891   4.94161711 128.33900000 -264.44300000
44             1.72800000   4.53623330  88.00000000 148.80000000   0.39703891   4.49237919 131.11800000 -193.71400000
45             1.72800000   4.53623330  88.00000000 223.20000000   0.43674280   4.49237919 103.24600000 -497.25600000
46             1.72800000   4.53623330  88.00000000 223.20000000   0.39703891   4.94161711 106.46200000 -507.59100000
47             1.72800000   4.53623330  88.00000000 186.00000000   0.35733502   4.49237919 156.08600000 -333.65900000
48             1.72800000   4.53623330  88.00000000 186.00000000   0.43674280   4.94161711 116.03900000 -361.16000000
49             1.72800000   4.53623330  88.00000000 186.00000000   0.39703891   4.04314127 150.92100000 -326.17100000
50             1.44000000   5.06003240  88.00000000 186.00000000   0.39703891   4.49237919 134.07200000 -363.04900000
51             1.44000000   3.62898660 105.60000000 186.00000000   0.39703891   4.49237919 180.82900000 -251.66900000
52             1.44000000   3.62898660  88.00000000 223.20000000   0.39703891   4.49237919 174.02600000 -516.61900000
53             1.44000000   3.62898660  88.00000000 186.00000000   0.43674280   4.49237919 172.60600000 -358.67100000
54             1.44000000   3.62898660  88.00000000 186.00000000   0.39703891   4.94161711 177.83600000 -366.28300000
55             1.44000000   5.44347990  70.40000000 186.00000000   0.39703891   4.49237919 105.73400000 -471.32000000
56             1.44000000   5.44347990 105.60000000 223.20000000   0.39703891   4.49237919 119.26000000 -431.71800000
57             1.44000000   5.44347990 105.60000000 186.00000000   0.43674280   4.49237919 111.66200000 -287.35800000
58             1.44000000   5.44347990 105.60000000 186.00000000   0.39703891   4.94161711 116.75400000 -292.31700000
59             1.44000000   5.44347990  88.00000000 148.80000000   0.39703891   4.49237919 120.34200000 -210.33000000
60             1.44000000   5.44347990  88.00000000 223.20000000   0.43674280   4.49237919  79.04900000 -541.81900000
61             1.44000000   5.44347990  88.00000000 223.20000000   0.39703891   4.94161711  82.21300000 -553.57200000
62             1.44000000   5.44347990  88.00000000 186.00000000   0.35733502   4.49237919 140.01600000 -359.05200000
63             1.44000000   5.44347990  88.00000000 186.00000000   0.43674280   4.94161711 100.37400000 -396.07500000
