# idx        omn         omt_i      temp_i         omt_e         Tref         nref        gamma        omega
   1   2.33980605   4.98736351   1.21510483   3.76836573   4.99928757  39.77392668   1.08263310   1.16203150
   2   4.42175387   1.27961572   1.25541691   1.46841323   4.74140249  25.06455158   0.54511419   0.94262579
   3   2.91455123   1.94488018   1.38928558   2.32332016   4.93003572  18.91190384   0.07151210   0.93362510
   4   4.47876150   4.35211776   1.24305207   4.73396390   3.54773554  14.13545908  -0.00606760  -0.00662457
   5   3.67828151   1.30063911   1.32113092   4.55637345   2.85485992  27.42860361   0.34851068   0.89219777
   6   2.62070552   1.00244456   1.02114517   2.55210180   4.18075906  29.13783022   0.37362053   0.54014080
   7   1.00082834   1.72292665   1.08443950   2.64902615   4.07948909  24.47234942   0.03876461   0.08484460
   8   4.36367473   1.47690825   0.56357980   1.81189567   3.91552696  19.74444072   0.02503804   0.65460103
   9   1.43044249   4.71049330   0.81121815   4.71872029   4.44801743  36.18768012   0.83579255   0.65798159
  10   2.51911432   3.51022656   0.68649614   4.04553381   3.73794403  26.95537695   0.41482475   0.54863045
  11   4.36306385   2.85255118   0.97047777   1.40359640   2.95846640  22.94675261   0.02042611   1.39487852
  12   4.93757349   1.64198717   0.82252259   1.06871899   3.17262436  17.62118978   0.03500986  -0.06174015
  13   3.46247009   2.89700564   1.05615779   1.99928146   4.68346395  12.55883412   0.04140067   0.01153084
  14   3.28078791   3.43867546   0.75160900   1.38905514   4.58741861  32.45154029   0.53825255   0.66535548
  15   2.14352763   1.03325669   1.33166098   3.02221892   4.06343766  32.07584182   0.48670886   0.63173867
  16   3.08509394   4.63557490   1.17638965   4.20786106   3.43337515  15.06312597   0.04809507   0.11255456
  17   4.35148409   1.56430400   0.99666648   1.13466683   4.63707235  25.71840886   0.45612331   0.77378831
  18   4.08240447   2.33057754   0.53665878   4.76424217   4.21032592  24.95026167   0.72609804   0.42406406
  19   4.76257175   2.41820297   1.47005044   4.75862207   3.38271828  33.19861112   0.99895344   1.34897271
  20   2.65889378   4.16480904   0.95642946   2.30994903   2.47191080  28.45179275   0.04416022   0.10317601
  21   1.01850156   2.61576327   1.34000586   1.67492918   4.57795316  18.51692602   0.03889449   0.14984209
  22   3.36559633   3.64908616   1.34884547   3.72314125   4.48221326  12.33123082   0.00832747   0.06524140
  23   2.85489549   2.70601804   1.36108250   2.39834995   3.30668959  35.13570765   0.46162143   1.03172663
  24   2.65961084   1.20061932   1.31261404   2.41341739   3.81406011  38.30932436   0.61340873   0.71757547
  25   3.14754818   3.44576287   1.26113549   2.44382634   3.61709955  14.57392934   0.04884912   0.05085831
  26   2.83627742   2.94223630   1.37949730   2.28964086   2.99628592  39.37574585   0.45988917   1.07640877
  27   4.10617151   4.23873296   1.01993462   3.99981019   3.31252403  12.53171348   0.07671296   0.01599293
  28   4.36540073   4.53045857   1.05047242   2.75314379   3.41132577  25.94779610   0.28838735   1.02770229
  29   2.90960380   4.55333634   0.82826572   4.37775687   3.25634451  30.19035346   0.54475224   0.79189823
  30   2.77445553   3.04525934   0.80840894   1.58234814   3.23289425  10.96553227   0.02532326  -0.13868538
  31   2.05124061   4.22285150   1.41130717   4.38805108   3.05589872  36.16399500   0.62914994   1.18493679
  32   4.31464580   4.90953026   0.74245118   2.46098582   2.03198819  20.37906663   0.07667624  -0.04679340
  33   4.23188548   4.37914026   0.72095100   4.20006345   4.06976830  33.86096661   1.01748438   0.78195328
  34   1.74380519   1.25180625   1.37147399   3.90965388   3.07829862  24.21986862   0.04362932   0.03004599
  35   2.03230839   2.21893668   1.41267114   1.24719016   3.00651682  39.49063268   0.10687451   0.95748993
  36   3.09983436   1.04787920   1.27224663   2.27618715   3.86642532  14.47532053   0.04670122  -0.05407892
  37   2.08249870   1.65185831   1.43585785   1.13358243   3.50063235  34.98528692   0.10846470   0.90344578
  38   1.62742052   3.51078558   0.73930530   3.18772735   4.04366894  31.43582728   0.39095231   0.54154448
  39   2.99633494   2.51835672   0.63354213   1.75589723   2.49920846  20.25109443  -0.00456389  -0.00499108
  40   2.27912598   3.52218458   0.55472462   3.40398645   4.22020750  22.39422842   0.13359018   0.51331155
  41   4.57592451   4.31654142   0.82283975   2.16437673   4.81263160  25.54855920   0.69661989   0.91711273
  42   3.65219082   3.34499369   0.86746170   1.36952996   2.68984746  22.39333162   0.04917190  -0.00305693
  43   2.91698194   4.70913595   0.80225332   1.18188555   3.70826826  26.24035060   0.09253698   1.01895670
  44   1.06363319   2.22044751   0.90301528   4.07417482   2.66620478  15.25656220   0.09546283   0.03047655
  45   2.85635121   2.84873851   1.07062931   4.72422112   2.76836060  28.62973526   0.27945376   0.82149764
  46   4.72125521   2.94603133   0.89238937   1.55292120   3.33518478  36.71143522   0.62384846   0.87128892
  47   1.30209663   1.33216120   1.33598477   3.45653165   3.45611298  27.03777460   0.02077228   0.05857365
  48   4.81045757   2.34734169   0.86686650   4.69668042   3.43339762  36.84695770   1.09057484   0.78372561
  49   3.99200893   1.76874674   0.78816603   2.60468691   2.92641511  10.62466535   0.01149197   0.00332173
  50   2.07294381   3.26108341   1.45245328   3.91198441   4.39931297  26.14117128   0.61191993   1.07308129
  51   4.00786750   4.22492457   1.14039775   1.41220039   2.26759304  19.35576654   0.06269497   0.01482281
  52   4.46085670   4.95046400   0.84648901   1.13647954   4.29614214  31.49202662   0.61881001   0.98020547
  53   2.26614175   2.09087021   0.83758868   4.72095466   3.20880726  35.85559544   0.60655395   0.49449846
  54   4.98534360   2.11235772   1.46871657   2.10834451   2.10876748  19.82117964   0.03298552  -0.01641829
  55   1.78986013   1.62945434   0.91255337   2.02151254   2.97086833  27.88471166   0.04800397  -0.01077619
  56   1.17290749   2.74424579   0.72296815   2.44834580   3.58610759  19.58651895   0.09648127   0.05129646
  57   3.11479498   4.30027555   1.17316034   2.64534315   2.14944557  30.00835764   0.00525026   0.08602158
  58   2.07012955   3.90444108   1.23702677   2.61542877   4.59005990  10.40822705   0.11309807   0.10227943
  59   1.11001135   3.33083661   0.77768629   4.32541558   2.44715805  36.44047143   0.12646314   0.56316035
  60   3.43295706   3.41943734   0.95322463   3.43054461   3.26470005  29.15426332   0.42644166   0.83988405
  61   2.65966951   3.94353960   0.65652408   2.12126573   3.76356911  36.04822235   0.44519958   0.57259636
  62   2.17129770   3.26069345   1.02121653   3.11946799   4.71653011  38.74062782   0.83967218   0.74555635
  63   4.00250402   1.07450106   1.23809073   1.53696636   3.83593496  27.34222127   0.29598829   0.83673760
  64   1.14952815   4.09275862   1.20992348   2.37929417   4.07536128  14.50191293   0.12624785   0.20108515
  65   4.55715054   3.68820691   0.91403641   1.11872864   4.83292974  27.47470699   0.62121500   0.94984726
  66   1.46054421   2.30074359   1.00823815   4.59562201   2.00777466  36.52009371   0.06801397   0.09193958
  67   2.73636915   3.88424629   1.43935952   2.40253755   2.74524351  16.26713050   0.08083196   0.08440737
  68   1.20945532   2.22976401   0.60260676   2.61119022   3.81480004  16.88492179   0.06247601  -0.00611835
  69   4.59848178   2.03779657   1.11366405   4.48168770   2.96178867  18.84791771   0.00500485   0.01974351
  70   4.42266164   3.56862199   0.92901089   1.93553765   2.05291554  14.55742775   0.02650697  -0.13832905
  71   4.83804740   4.98368391   0.60356561   4.04483759   4.60312722  18.70345985   0.55160816   0.71800053
  72   4.38128953   3.56558899   1.48671142   3.72803065   2.49362245  20.61886725  -0.00765185  -0.01033562
  73   2.79680497   3.57122866   0.93653370   4.07804363   4.03922688  22.27783143   0.35945511   0.78263204
  74   2.51685938   1.38702321   0.50965493   1.95033642   3.32050903  26.51845518   0.02059348   0.44433786
  75   1.06671061   1.07446617   1.22602673   1.21980293   2.49945548  13.13512480   0.00874376  -0.00492117
  76   4.54378368   4.99049026   0.84120821   2.85128109   2.42880673  18.80651987   0.07189731   0.01595102
